drone.distance,detection_rate,mean_angular_error_deg,std_angular_error_deg,max_angular_error_deg,min_angular_error_deg,mean_psr_db,std_psr_db,mean_beamwidth_deg,n_detected,n_total,n_frames,effective_snr_db,run_time_s,config_hash
10,0.6537634408602151,3.8572821275584968,3.05388993079287,9.7188316919931,0.10287219275885437,0.5818063786863594,0.2615465534574637,26.31693765021926,304,465,465,23.96,15.844,33046bfecd22
20,0.5870967741935483,3.2558798053041587,2.7784231518575138,9.180810403963385,0.10482022324515697,0.4910421160224959,0.20921115837061802,30.529384864531117,273,465,465,17.91,16.032,7b92f560e478
30,0.5290322580645161,2.8109170309953715,2.352876639320132,8.693006989286214,0.1127469565615347,0.43184341096124046,0.19061114650964356,37.116311755369466,246,465,465,14.35,15.477,d7ffb2edce50
50,0.2989247311827957,1.3697835171602564,1.0137032302861153,4.411407350829017,0.1885923570806715,0.3251642462846485,0.13940890111454055,55.379285888785105,139,465,465,9.84,15.568,b9f50ab4f2ef
75,0.012903225806451613,1.5946614932141223,1.0014910081044277,3.3117267438257714,0.24986672431020826,0.26142826648426876,0.11606792133122501,72.9246959611645,6,465,465,6.23,15.386,82f87291056c
100,0.0,0.0,0.0,0.0,,0.23345908085362063,0.11035292894815905,86.38206869376569,0,465,465,3.64,16.047,a758cb765435
150,0.002150537634408602,1.2704832825251502,0.0,1.2704832825251502,1.2704832825251502,0.184917177003327,0.10499800816614023,104.75661601412885,1,465,465,-0.06,15.751,562633286db4
200,0.0,0.0,0.0,0.0,,0.17038515895555376,0.10442816648841553,114.08622638096662,0,465,465,-2.74,16.247,0ccbd97c7ccb
300,0.0,0.0,0.0,0.0,,0.1510518026806883,0.09863316515759304,119.8961889558034,0,465,465,-6.62,16.953,9dfefec0fcc6
500,0.0,0.0,0.0,0.0,,0.133054768469874,0.10264739352248584,121.9264096667793,0,465,465,-11.78,16.078,0a725acb1f2c
