drone.distance,detection_rate,mean_angular_error_deg,std_angular_error_deg,max_angular_error_deg,min_angular_error_deg,mean_psr_db,std_psr_db,mean_beamwidth_deg,n_detected,n_total,n_frames,effective_snr_db,run_time_s,config_hash
10,1.0,6.045090766667569,3.9966281008231106,11.286838694521931,0.10287219275885437,0.5796483332984916,0.1958062381437113,20.36335924735043,465,465,465,23.96,13.467,d96a855934af
20,1.0,6.043114985780259,4.00959723782046,11.443956355987485,0.10287219275885437,0.5454312108357222,0.18612637260839912,20.861687328201242,465,465,465,17.91,13.769,9f0562493ee2
30,1.0,6.069511776125647,3.9828009830310656,11.409076771061759,0.10287219275885437,0.5175106910545835,0.1758615364646584,21.556172218769227,465,465,465,14.35,13.349,68b59c0cdefe
50,1.0,6.113642742225688,3.954974168325126,11.519432100839367,0.10482022324515697,0.46093438898193795,0.15712342089386924,23.1527359714937,465,465,465,9.84,13.342,a72ce753a61c
75,1.0,6.169547661115265,3.961677126798343,12.107364178169615,0.10287219275885437,0.39769088178158984,0.13411041502351784,25.444293970569866,465,465,465,6.23,12.798,f27b42dfeb26
100,0.9204301075268817,5.817297525321998,3.8848777854472694,11.900793065394986,0.10287219275885437,0.3527591343646017,0.1199144865383517,27.44711811999644,428,465,465,3.64,14.149,8ebd2fdd143a
150,0.6430107526881721,4.123873860339888,3.130470542945459,11.04138166632542,0.10287219275885437,0.2943714658844591,0.1103569275130437,32.633934678218885,299,465,465,-0.06,14.236,f44be98cebed
200,0.42795698924731185,2.713323164736043,2.0092605365665186,12.181142588301206,0.1885923570806715,0.2660317801913103,0.10455198848371947,41.29448441939556,199,465,465,-2.74,12.874,a91bdbf14a61
300,0.07096774193548387,2.287223841040273,1.0954685390180863,5.659271081610755,0.4360937772346656,0.21959531744248903,0.09967705260058106,69.49691725329644,33,465,465,-6.62,13.491,19a5a22f96d6
500,0.0,0.0,0.0,0.0,,0.17827224562670121,0.10405596933864954,104.12209580163156,0,465,465,-11.78,13.987,cdc21feb399d
