srpphat.detection.psr_threshold_db,drone.distance,detection_rate,mean_angular_error_deg,std_angular_error_deg,max_angular_error_deg,min_angular_error_deg,mean_psr_db,std_psr_db,mean_beamwidth_deg,n_detected,n_total,n_frames,effective_snr_db,run_time_s,config_hash
2.0,20,0.6279569892473118,3.635004904393186,2.9627065695224735,10.80683233571617,0.10287219275885437,0.49097981360507315,0.20157574769129374,29.58222334037032,292,465,465,17.91,16.061,64373f309ba1
2.0,50,0.24946236559139784,1.4673329898034375,1.1216302434305374,5.260098464826388,0.10287219275885437,0.326726080090056,0.13752000212648818,54.69443070438137,116,465,465,9.84,16.477,778b7db96ecf
2.0,100,0.002150537634408602,0.6393763059708881,0.0,0.6393763059708881,0.6393763059708881,0.21314347597166164,0.10843078649869078,89.89314968791696,1,465,465,3.64,16.554,12dd21156115
3.0,20,0.6236559139784946,3.520398748701571,2.991506656010332,9.812594161218462,0.10287219275885437,0.500127967051121,0.19814452330693405,29.33634114257484,290,465,465,17.91,16.389,810d37c17f62
3.0,50,0.2946236559139785,1.6975935995916522,1.2568430187898307,5.120394303164083,0.10482022324515697,0.325940063175458,0.1428832898611565,53.59809056551348,137,465,465,9.84,15.361,cc36153df08b
3.0,100,0.0,0.0,0.0,0.0,,0.21818229937335729,0.11361163752188148,87.68879282165909,0,465,465,3.64,15.78,87b1eecfb75a
4.0,20,0.5827956989247312,3.1967031485017983,2.6536989519519194,8.837181313358153,0.10287219275885437,0.4960655604750153,0.21397968202999226,29.83243900166546,271,465,465,17.91,15.34,e00cbc640919
4.0,50,0.26666666666666666,1.4315187675213599,1.0334615083382401,6.281911420953271,0.10287219275885437,0.3272383157085977,0.13487025327390048,55.48133959797233,124,465,465,9.84,17.427,cfac8fa632fb
4.0,100,0.0,0.0,0.0,0.0,,0.2295482466963168,0.11512107889013519,87.61009836535632,0,465,465,3.64,18.789,1b643ddd13ae
6.0,20,0.5913978494623656,3.3202863929983657,2.7452134481886423,9.051779915520239,0.10287219275885437,0.4939001476860983,0.21093911310651114,30.63487770205575,275,465,465,17.91,18.808,889825919d82
6.0,50,0.2817204301075269,1.6494642769734082,1.1901287154399829,5.749379749139581,0.10287219275885437,0.3430095132569493,0.135654061868748,50.762751255080815,131,465,465,9.84,18.385,81a6fe20c42d
6.0,100,0.0,0.0,0.0,0.0,,0.22003404068470903,0.10137371196597952,88.99978448955198,0,465,465,3.64,15.814,a1d5e9ea17ce
8.0,20,0.6064516129032258,3.4621112634380173,2.8328640922254724,9.732600919018994,0.10482022324515697,0.4970707105539582,0.20444213799122196,30.59939665520468,282,465,465,17.91,15.702,2c058626b5db
8.0,50,0.24946236559139784,1.6329175475298805,1.2898011363299804,5.731472647265154,0.10287219275885437,0.32889217297807044,0.14476165352867812,52.10502471346193,116,465,465,9.84,15.725,3b5d86d02f7e
8.0,100,0.002150537634408602,0.6393763059708881,0.0,0.6393763059708881,0.6393763059708881,0.22134997373683254,0.10431595103413983,87.57108160183444,1,465,465,3.64,15.933,6e43678a2d5d
10.0,20,0.6064516129032258,3.4375719074513005,2.8341121977554455,9.49503481882434,0.1127469565615347,0.4881855119542482,0.2130633364761699,30.044796232444305,282,465,465,17.91,15.873,a17aeab8a4b4
10.0,50,0.2731182795698925,1.5521144519122894,1.323624451544122,6.123207949299393,0.1127469565615347,0.3297240835974331,0.1343676197573326,51.918561434750295,127,465,465,9.84,17.658,df11a2e005f7
10.0,100,0.002150537634408602,2.6388661982068906,0.0,2.6388661982068906,2.6388661982068906,0.22445919106008833,0.10416338437807612,88.54087256146613,1,465,465,3.64,16.929,1e6e95ed4a73
