environment.ground.height_m,environment.ground.model,detection_rate,mean_angular_error_deg,std_angular_error_deg,max_angular_error_deg,min_angular_error_deg,mean_psr_db,std_psr_db,mean_beamwidth_deg,n_detected,n_total,n_frames,effective_snr_db,run_time_s,config_hash
0.3,constant,0.49032258064516127,2.485426676819214,2.1229167240320104,8.060823756824675,0.10287219275885437,0.4264276282948969,0.18329847243282235,38.926096649152434,228,465,465,14.35,16.278,b5b0ed462e41
0.3,delany_bazley,0.0,0.0,0.0,0.0,,0.3162853882902412,0.14182577498868482,106.8652651372045,0,465,465,14.35,95.018,81d94f1f4e77
0.5,constant,0.47956989247311826,2.4629962385754474,1.9593424074278853,7.24246319821665,0.1735142038334147,0.39346385720740806,0.17373617451186177,38.39728997385539,223,465,465,14.35,16.196,e856efcb7eab
0.5,delany_bazley,0.0,0.0,0.0,0.0,,0.273749433610263,0.14272233556328848,108.35993371218704,0,465,465,14.35,93.048,e7a795e44807
0.75,constant,0.4752688172043011,2.30208025849866,1.964662806592054,7.281259312120031,0.1127469565615347,0.3973359329447115,0.16258985713175642,40.17935541054151,221,465,465,14.35,15.967,135f4ee236bf
0.75,delany_bazley,0.0,0.0,0.0,0.0,,0.2480028907073418,0.12809624412252862,109.05631543541976,0,465,465,14.35,91.959,be89bbbc0050
1.0,constant,0.4838709677419355,2.376672646266181,1.9209850546409903,6.995416715551721,0.10482022324515697,0.40840452047145404,0.1721002440398547,39.8973520511392,225,465,465,14.35,15.144,209f44aff47f
1.0,delany_bazley,0.0,0.0,0.0,0.0,,0.252058746686847,0.13895347941802233,108.99893807568134,0,465,465,14.35,86.736,391fa9239f9d
1.5,constant,0.524731182795699,2.720053925852654,2.346493938834423,8.309325652876593,0.10482022324515697,0.4357136596432223,0.18424392501679407,36.26323836286915,244,465,465,14.35,14.871,c3b23716ac21
1.5,delany_bazley,0.0,0.0,0.0,0.0,,0.23666893951545548,0.1357686302008484,110.13236517744825,0,465,465,14.35,88.836,86e24baedba1
2.0,constant,0.4838709677419355,2.4294232277819394,2.072838871782573,8.704260273633775,0.10287219275885437,0.40805832151149085,0.16718546838554046,40.30285042885138,225,465,465,14.35,16.147,bc2d1c338d44
2.0,delany_bazley,0.0,0.0,0.0,0.0,,0.20039666136796477,0.1403298787611192,109.99383924747094,0,465,465,14.35,93.405,88e35e81964d
3.0,constant,0.5161290322580645,2.661714063963939,2.239630777032776,8.099679649683384,0.10287219275885437,0.434572330678466,0.17189832855516796,33.832522083596885,240,465,465,14.35,16.38,8f150ce0b897
3.0,delany_bazley,0.0,0.0,0.0,0.0,,0.21646900454835177,0.14711006246298472,111.00682270315656,0,465,465,14.35,95.02,0e35e30b03a5
5.0,constant,0.5161290322580645,2.6663258979819706,2.3670243596871607,8.960606413429641,0.10287219275885437,0.42813088581088893,0.1788358683544497,35.99102642543042,240,465,465,14.35,16.211,8aa6b63e4737
5.0,delany_bazley,0.0,0.0,0.0,0.0,,0.24471370012803556,0.14892292205850452,115.088266362838,0,465,465,14.35,95.96,e1d4eeb604ba
